Cual de las siguientes enfermedades ataca al higado?,Hepatitis,Diabetes,Cifoescoliosis,Hepatitis
Que es un equino?,Una vaca,Un antilope,Un caballo,Un caballo
Cual es la funcion principal del instestino grueso?,La absorcion de nutrientes,La absorcion de agua,La digestion quimica,La absorcion de agua
Que contiene el cactus llamado peyote?,LSD,Salvia,Mescalina,Mescalina
Cuantas cavidades estomacales tiene una vaca?,Uno,Dos,Cuatro,Cuatro
Con que parte del cuerpo hacen el zumbido las abejas?,Con las patas,Con las alas,Con la boca,Con las alas
Cual es el simbolo de Bromo?,B,Br,Bh,Br
Cual es el simbolo del Sodio?,Na,So,Li,Na
Que tipo de musculos realizan los movimientos voluntarios?,Estriados,Lisos,Gruesos,Estriados
Cuantos colores tenia la primera tarjeta grafica?,Uno,Dos,Tres,Dos
